nr	ANNEX A: controls SECTION	section	ANNEX A: controls TITLE	Appendix A 27001 Control specification	HIGH LEVEL INTERPRETATION 	Decomposed USM statements	CTM	CHM	MIR	INC	OPS	RIM	TECH	SDC	ORG	SERV
1030	Physical Controls	Annex A 7.3	Securing Offices, Rooms and Facilities	Physical security for offices, rooms and facilities shall be designed and implemented.		ORG is a class of MIC.		CHM	MIR						ORG	
1031	Physical Controls	Annex A 7.3	Securing Offices, Rooms and Facilities	Physical security for offices, rooms and facilities shall be designed and implemented.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
1032	Physical Controls	Annex A 7.3	Securing Offices, Rooms and Facilities	Physical security for offices, rooms and facilities shall be designed and implemented.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
1033	Physical Controls	Annex A 7.3	Securing Offices, Rooms and Facilities	Physical security for offices, rooms and facilities shall be designed and implemented.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_implementphyssecoffice.		CHM	MIR						ORG	
1034	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.	We define premises as the collective areas where we do our work. We register any individual that has specific roles or rights in the MIR. We assign authority for physical access to premises for individuals in a Change.  All authorizations are recorded in a Change record.											
1035	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		LOC is a class of MIC.		CHM	MIR							
1036	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		LOC_PREMISE is a Location type Premise.		CHM	MIR							
1037	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		LOC_PREMISE may include LOC_AREA and all its components.		CHM	MIR							
1038	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		DOC is a class of MIC.		CHM	MIR							
1039	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		DOC_POLICY is a Document type Policy, with a field <topic-specific>.		CHM	MIR							
1040	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		DOC_POLICY includes Rules.		CHM	MIR							
1041	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		DOC_POLICY_physacc specifies physicall access rules for a Location.		CHM	MIR							
1042	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		DOC_POLICY_physacc exists for each relevant Location.		CHM	MIR							
1043	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		LOC_PREMISE has a DOC_POLICY_physacc that specifies relevant physical access rules.		CHM	MIR							
1044	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG is a class of MIC.		CHM	MIR						ORG	
1045	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
1046	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
1047	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_SUPPLIER is an Organization type Supplier.	CTM	CHM	MIR						ORG	
1048	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_SUPPLIER_REP is an Organization type Supplier type Representative.	CTM	CHM	MIR						ORG	
1049	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_PARTNER is an Organization type Partner that has field <relevant authority>, <special interest group>, <specialist security forum> and <professional association>.	CTM	CHM	MIR						ORG	
1050	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_PARTNER_REP is an Organization type Partner type Representative.	CTM	CHM	MIR						ORG	
1051	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_CUSTOMER is an Organization type Customer.	CTM	CHM	MIR						ORG	
1052	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_CUSTOMER_USER is an Organization type Customer type USER, that has other roles than plain User.	CTM	CHM	MIR						ORG	
1053	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ASSET is a class of MIC.		CHM	MIR							
1054	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
1055	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ASSET_SW_REG is an Asset type Software type Register.		CHM	MIR				TECH			
1056	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ASSET_SW_REG_accesspremise is a Register that holds data of all individuals that have been authorized for physical access to Premises or any of their components.		CHM	MIR				TECH			
1057	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_UNIT_PERSONNEL can be authorized for access to a LOC_PREMISE or any of its components, according to DOC_POLICY_physacc. 					OPS				ORG	
1058	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_SUPPLIER_REP can be authorized for access to a LOC_PREMISE or any of its components, according to DOC_POLICY_physacc. 	CTM	CHM	MIR						ORG	
1059	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_PARTNER_REP can be authorized for access to a LOC_PREMISE or any of its components, according to DOC_POLICY_physacc. 	CTM	CHM	MIR						ORG	
1060	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
1061	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ASSET_SW_SDCTOOL includes MIR.		CHM	MIR				TECH	SDC		
1062	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ASSET_SW_SDCTOOL_REGOPS is a Register for Service requests in the ASSET_SW_SDCTOOL.					OPS		TECH	SDC		
1063	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar with planned actions of ASSET_SW_SDCTOOL_REGOPS assigned to Personnel, is part of the SDCTOOL.					OPS		TECH	SDC		
1064	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ASSET_SW_SDCTOOL_REGOPS_OPScalendar  has planned actions for continuous monitoring of physical access to Premises.					OPS					
1065	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
1066	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
1067	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		DOC_PROFILE_TASK_monitoringpremiseaccess exist, responsible for continuously monitoring premises for unauthorized physical access.		CHM	MIR						ORG	
1068	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
1069	Physical Controls	Annex A 7.4	Physical Security Monitoring	Premises shall be continuously monitored for unauthorized physical access.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_monitoringpremiseaccess.		CHM	MIR						ORG	
1070	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.	We make an inventory of all threats and disasters: risks. These risks are registered in the Risk database. We apply RIM to each risk, and we deploy the best measures. All measures are registered with the risk.											
1071	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		ASSET is a class of MIC.		CHM	MIR							
1072	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
1073	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
1074	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		ASSET_SW_SDCTOOL_REGCHM is a Register for Changes in the ASSET_SW_SDCTOOL.		CHM	MIR				TECH	SDC		
1075	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		ASSET_SW_SDCTOOL_REGRIM_RECORD is a Record in the ASSET_SW_SDCTOOL_REGRIM, containing a field <uses projmgt technique>.						RIM	TECH	SDC		
1076	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		ASSET_SW_SDCTOOL_REGRIM_RECORD exists for physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure, specifying the measures that are designed and implemented for relevant protection.						RIM				
1077	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		DOC is a class of MIC.		CHM	MIR							
1078	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
1079	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
1080	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		DOC_PROFILE_TASK_protectphysicalthreats exist, responsible for designing and implementing protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure.		CHM	MIR						ORG	
1081	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		ORG is a class of MIC.		CHM	MIR						ORG	
1082	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
1083	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
1084	Physical Controls	Annex A 7.5	Protecting Against Physical and Environmental Threats	Protection against physical and environmental threats, such as natural disasters and other intentional or unintentional physical threats to infrastructure shall be designed and implemented.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_protectphysicalthreats.		CHM	MIR						ORG	
1085	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.	We have defined all secure areas. We have defined and deployed security measures for working in these areas.											
1086	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		ASSET is a class of MIC.		CHM	MIR							
1087	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
1088	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
1089	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		ASSET_SW_SDCTOOL_REGRIM is a Register for Risks in the  ASSET_SW_SDCTOOL.						RIM	TECH	SDC		
1090	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		ASSET_SW_SDCTOOL_REGRIM_RECORD is a Record in the ASSET_SW_SDCTOOL_REGRIM, containing a field <uses projmgt technique>.						RIM	TECH	SDC		
1091	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		LOC is a class of MIC.		CHM	MIR							
1092	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		LOC_AREA is a Location of the type Area.		CHM	MIR							
1093	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		LOC_AREA with a LOC_SECPER is a Secure area.		CHM	MIR							
1094	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		DOC is a class of MIC.		CHM	MIR							
1095	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		DOC_POLICY is a Document type Policy, with a field <topic-specific>.		CHM	MIR							
1096	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		DOC_POLICY_infosec specifies the policies for information security.		CHM	MIR							
1097	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		DOC_POLICY_infosec specifies the measures to be taken when someone wants to work in a secure area.		CHM	MIR							
1098	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		ASSET_SW_SDCTOOL_REGRIM_RECORD exists for working in  LOC_AREA with a LOC_SECPER (Secure area), showing that the measures that are designed in the DOC_POLICY_infosec are implemented.						RIM				
1099	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
1100	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
1101	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		DOC_PROFILE_TASK_measureworkinsecarea exist, responsible for designing and implementing security measures for working in secure areas.		CHM	MIR						ORG	
1102	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		ORG is a class of MIC.		CHM	MIR						ORG	
1103	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
1104	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
1105	Physical Controls	Annex A 7.6	Working In Secure Areas	Security measures for working in secure areas shall be designed and implemented.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_measureworkinsecarea.		CHM	MIR						ORG	
1106	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.	Policies shall be designed for Clear desk and for Clear screen. Information processing facilities are in fact information processing assets, and these are registered as such in the MIR. There is an OPS process including monitoring activities. Monitoring shall include the clear desk and clear screen rules. All personnel is instructed for these rules, in the onboarding routine. Records in the SDCtool exist to show this.											
1107	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		DOC is a class of MIC.		CHM	MIR							
1108	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		DOC_POLICY is a Document type Policy, with a field <topic-specific>.		CHM	MIR							
1109	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		DOC_POLICY_cleardesk specifies clear desk rules for papers and removable storage media.		CHM	MIR							
1110	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		DOC_POLICY_clearscreen specifies clear screen rules for information processing facilities.		CHM	MIR							
1111	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		ASSET is a class of MIC.		CHM	MIR							
1112	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
1113	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
1114	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		ASSET_SW_SDCTOOL_REGCHM is a Register for Changes in the ASSET_SW_SDCTOOL.		CHM	MIR				TECH	SDC		
1115	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		ASSET_SW_SDCTOOL_REGCHM_RECORD exists for the enforcement of DOC_POLICY_cleardesk.		CHM					TECH	SDC		
1116	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		ASSET_SW_SDCTOOL_REGCHM_RECORD exists for the enforcement of DOC_POLICY_clearscreen.		CHM					TECH	SDC		
1117	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		ASSET has a field <information processing asset>.		CHM	MIR							
1118	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		DOC_ROUTINE is a Document type Routine.		CHM	MIR							
1119	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		DOC_ROUTINE_PROCESS is a Document type Routine type PROCESS.		CHM	MIR							
1120	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		DOC_ROUTINE_PROCESS_operationsmgt specifies the Process for Operations Management.		CHM	MIR		OPS					
1121	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		DOC_ROUTINE_PROCESS_operationsmgt includes the activity <monitoring>.		CHM	MIR		OPS					
1122	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		DOC_ROUTINE_PROCESS_operationsmgt activity <monitoring> includes the use of the Clear desk and Clear screen policies.		CHM	MIR		OPS					
1123	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		DOC_PROFILE is a Document type Profile, specifying tasks, authorities, responsibilities that can be assigned as a role or function package to a ORG_UNIT_PERSONNEL, and it has a field <security> and a list of other DOC_PROFILE it conflicts with, and it is classified as <manager>, <coordinator>, or <operator>.		CHM	MIR						ORG	
1124	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		DOC_PROFILE_TASK is a Document type Profile type Task, specifying authorities and responsibilities for actions that are part of a DOC_PROFILE.		CHM	MIR						ORG	
1125	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		DOC_PROFILE_TASK_cleardeskscreenrules exist, responsible for defining and appropriately enforcing clear desk rules for papers and removable storage media and clear screen rules for information processing facilities.		CHM	MIR						ORG	
1126	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		ORG is a class of MIC.		CHM	MIR						ORG	
1127	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		ORG_UNIT is an Organization type Team.		CHM	MIR						ORG	
1128	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		ORG_UNIT_PERSONNEL is an Organization type Team type Personnel.		CHM	MIR						ORG	
1129	Physical Controls	Annex A 7.7	Clear Desk and Clear Screen	Clear desk rules for papers and removable storage media and clear screen rules for information processing facilities shall be defined and appropriately enforced.		ORG_UNIT_PERSONNEL exist, assigned with the DOC_PROFILE_TASK_cleardeskscreenrules.		CHM	MIR						ORG	
1130	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.	All equipment must be registered as MICs. All equipment is sited in a secure area. All secure areas provide protection for Assets that are relevant for information processing.											
1131	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET is a class of MIC.		CHM	MIR							
1132	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET_HW is an Asset type Hardware.		CHM	MIR				TECH			
1133	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET_HW_SERVER is an Asset type Hardware type Server.		CHM	MIR				TECH			
1134	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET_HW_COMP is an Asset type Hardware type Computer.		CHM	MIR				TECH			
1135	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET_HW_HD is an Asset type Hardware type Hard drive.		CHM	MIR				TECH			
1136	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET_HW_STOR is an Asset type Hardware type Storage media.		CHM	MIR				TECH			
1137	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET_HW_PR is an Asset type Hardware type Printer.		CHM	MIR				TECH			
1138	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET_NW is an Asset type Network.		CHM	MIR				TECH			
1139	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET_NW_NWDEV is an Asset type Network type Network device.		CHM	MIR				TECH			
1140	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET has a field <information processing asset>.		CHM	MIR							
1141	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		LOC is a class of MIC.		CHM	MIR							
1142	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		LOC_AREA is a Location of the type Area.		CHM	MIR							
1143	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		LOC_AREA with a LOC_SECPER is a Secure area.		CHM	MIR							
1144	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET that has field <information processing asset> ticked, shall be installed in LOC_AREA with a LOC_SECPER (Secure area).		CHM								
1145	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET_SW is an Asset type Software, has a field <licensed>.		CHM	MIR				TECH			
1146	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET_SW_SDCTOOL is an Asset type Software used for managing, coordinating, and executing the service delivery, including coordination function with Registers for Wishes (ASSET_SW_SDCTOOL_REGCTM), Changes (ASSET_SW_SDCTOOL_REGCHM), Incidents (ASSET_SW_SDCTOOL_REGINC), Service requests (ASSET_SW_SDCTOOL_REGOPS), and Risks (ASSET_SW_SDCTOOL_REGRIM).		CHM	MIR				TECH	SDC		
1147	Physical Controls	Annex A 7.8	Equipment Siting and Protection	Equipment shall be sited securely and protected.		ASSET_SW_SDCTOOL_REGRIM is a Register for Risks in the  ASSET_SW_SDCTOOL.						RIM	TECH	SDC		
